predator	reference	river	year	region	season	FG1	FG2	FG3	FG4	NA	Total
salmon	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	Apr-Aug	0	0	84.23333333	0	0	84.23333333
salmon	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	Sep-Mar	0	0	53.55	0	0	53.55
salmon	Egglishaw 1967	Almond	NA	Scotland	annual	0.166666667	0.166666667	90.66666667	0	0	91
salmon	Egglishaw 1967	Almond	NA	Scotland	Apr-Aug	0.333333333	0.333333333	84.33333333	0	0	85
salmon	Egglishaw 1967	Almond	NA	Scotland	Sep-Mar	0	0	97	0	0	97
salmon	Egglishaw 1967	Shelligan	NA	Scotland	annual	2.791666667	1.666666667	70	0	0	74.45833333
salmon	Egglishaw 1967	Shelligan	NA	Scotland	Apr-Aug	3.4	2	68	0	0	73.4
salmon	Egglishaw 1967	Shelligan	NA	Scotland	Sep-Mar	0	0	80	0	0	80
salmon	Keeley and Grant 1997	Catamaran Brook	1992	Canada	Apr-Aug	0.6	0	56.8	0.4	0	57.8
salmon	Maitland 1965	Endrick	1961	Scotland	annual	1.2	7.1	84.2	1.5	0.2	94.2
salmon	Mann and Blackburn 1991	Frome.Tadnoll Brook	1973, 1980-1984	England	Apr-Aug	0.5	0.6	97.6	0	0	98.7
salmon	McCormick D P and Harrison S C 2011	Argideen closed	2007	Ireland	Apr-Aug	0	0	71.4	0	0	71.4
salmon	McCormick D P and Harrison S C 2011	Argideen closed	2007	Ireland	Sep-Mar	0	0	28.6	0	0	28.6
salmon	McCormick D P and Harrison S C 2011	Argideen open	2007	Ireland	Apr-Aug	0	0	79.4	0	0	79.4
salmon	McCormick D P and Harrison S C 2011	Argideen open	2007	Ireland	Sep-Mar	0	0	50	0	0	50
salmon	McCormick D P and Harrison S C 2011	Argideen Upper closed	2007	Ireland	Apr-Aug	0	0	90	0	0	90
salmon	McCormick D P and Harrison S C 2011	Argideen Upper closed	2007	Ireland	Sep-Mar	0	0	33.4	0	0	33.4
salmon	McCormick D P and Harrison S C 2011	Argideen Upper open	2007	Ireland	Apr-Aug	0	0	96.2	0	0	96.2
salmon	McCormick D P and Harrison S C 2011	Argideen Upper open	2007	Ireland	Sep-Mar	0	0	81.9	0	0	81.9
salmon	McCormick D P and Harrison S C 2011	Blackwater closed	2007	Ireland	Apr-Aug	0	0	84.7	0	0	84.7
salmon	McCormick D P and Harrison S C 2011	Blackwater closed	2007	Ireland	Sep-Mar	0	0	42.8	0	0	42.8
salmon	McCormick D P and Harrison S C 2011	Blackwater open	2007	Ireland	Apr-Aug	0	0	80.7	0	0	80.7
