number	order	family	genus	drift_index	calcium	flow_ 0-5	flow_ 5-2	flow_ 25-	flow_ g75	f_exp_prot	f_exp_expo	shape_cyli	shape_sphe	shape_coni	shape_flat	shape_stre	drift_wc_none	drift_wc_weak	drift_wc_medi	drift_wc_high	drift_ws_none	drift_ws_weak	drift_ws_medi	drift_ws_high	diel_b_t-li	diel_b_d-li	diel_b_dawn	diel_b_noct	diel_b_none	traj_osci	traj_lin	traj_rand	traj_none	size_l.25	size_> .5	size_1-2 	size_2-4 	size_g4-8	aggreg_high	aggreg_weak	conceal_sold	conceal_patt	conceal_var-	conceal_case	conceal_net	flex_none	flex_weak	flex_high	locom_surf	locom_full	locom_craw	locom_burr	locom_inte	locom_temp	locom_perm	subs_flag	subs_grav	subs_sand	subs_silt	subs_macr	subs_micr	subs_twig	subs_orga	subs_mud
59	Plecoptera	Nemouridae	Nemurella	57.6	low	1	2	3	0	2.5	1	5	0	0	0	0	0	0	3	2	0	2	1	0	2	2	5	3	0	0	3	0	0	0	3	0	0	0	3	1.5	3	0	0	0	0	3	1	0	0	0	5	0	0	0	0	2	0	0	0	5	0	0	0	0
60	Trichoptera	Odontoceridae	Odontocerum	NA	low	0	0	3	1	2	1	5	0	0	0	0	2	2	0	0	1	2	0	0	2	1	3	2	0	0	3	0	0	0	0	3	1	0	3	1	3	0	0	3	0	3	1	0	0	0	3	2	0	0	0	2	1	3	4	2	0	0	2	0
62	Coleoptera	Dytiscidae	Oreodytes	NA	low	3	2	1	0	3	0	0	3	0	1	0	0	3	0	0	0	3	0	0	0	0	0	0	3	0	3	1	0	3	0	0	0	0	1	1	3	1	0	0	0	3	0	0	0	3	3	0	0	0	0	1	2	2	1	0	0	0	1	0
63	Coleoptera	Elmidae	Oulimnius	34	low	0	3	2	1	1	1	1	3	0	0	0	0	3	0	0	0	3	0	0	0	0	1	1	5	0	3	0	0	3	0	0	0	0	1	1	3	0	0	0	0	3	0	0	0	0	4	0	1	0	0	1	3	3	2	2	0	0	0	0
64	Ephemeroptera	Leptophlebiidae	Paraleptophlebia	63.6	low	0	1	3	0	2	0	4	0	0	1	0	0	1	2	0	0	1	2	0	0	1	0	3	0	1	1	0	2	0	2	2	0	0	NA	NA	2	0	2	0	0	0	1	3	0	1	4	1	0	0	0	2	2	1	0	2	0	2	2	0
65	Diptera	Pediciidae	Pediciidae	NA	low	1	2	1	1	3	0	3	0	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	3	2	2	3	3	0	0	0	0	0	0	3	0	0	2	2	0	0	0	2	3	3	2	1	0	1	3	2
66	Plecoptera	Perlidae	Perla	50.4	low	0	0	1	3	2	1	3	0	0	1	0	1	3	0	0	3	0	0	0	2	0	2	1	0	0	3	0	0	0	0	0	3	0	1	1	2	2	0	0	0	3	2	0	0	0	5	0	0	0	0	4	3	1	0	1	0	2	0	0
67	Plecoptera	Perlidae	Perlodes	50.4	low	0	0	2	1	2	1	3	0	0	1	0	0	2	2	0	1	2	0	0	3	0	0	1	0	0	3	0	0	0	0	1	3	0	3	2	1	3	0	0	0	3	2	0	0	0	5	0	0	0	0	3	2	0	0	2	0	1	0	0
68	Trichoptera	Philopotamidae	Philopotamus	48	low	0	0	1	3	1	1	5	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	3	0	0	1	1	3	0	1	3	0	0	2	1	3	1	0	0	3	0	0	3	0	0	2	0	0	3	0	3	1	0	0	1	0	0	0	1
69	Bivalvia	Sphaeriidae	Pisidium	NA	high	2	2	1	0	3	0	0	3	0	2	0	1	1	0	0	1	1	0	0	0	0	0	1	2	0	0	1	3	3	2	1	0	0	2	1	3	0	0	0	0	3	0	0	0	0	1	4	1	2	0	1	1	4	4	3	0	1	3	4
70	Trichoptera	Polycentropodidae	Plectrocnemia	44.4	low	2	3	0	0	0	1	5	0	0	0	0	0	0	3	0	0	3	0	0	2	1	3	2	1	0	1	1	3	0	0	3	2	0	3	1	3	1	0	0	3	0	0	3	0	1	1	0	0	3	0	4	1	1	0	3	0	1	1	1
71	Trichoptera	Polycentropodidae	Polycentropodidae	44.4	low	4	5	2	1	0	1	5	0	0	0	0	0	0	2	1	0	3	0	0	2	1	3	2	1	0	1	1	3	0	1.2	2.6	0.4	0	3	2	3	1	0	0	3	0	0	3	0	1	1	0	0	3	0	3.6	0.6	0.6	0	3.2	0.4	1.4	1.2	0.6
72	Trichoptera	Limnephilidae	Potamophylax	NA	low	0	3	2	1	1	0	5	0	0	0	0	0	0	3	1	0	3	0	0	0	0	1	2	0	0	3	0	1	0	0	3	2	0	3	1	3	0	0	3	0	3	1	0	0	0	5	0	0	0	0	3	2	2	0	0	0	1	1	0
